"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_confusion,score_numbness,score_vision,score_nosebleed,score_urgency,score_location,total_raw_score,awareness_score
Physician,No,Immediately,yes,yes,no,yes,15-25,Male,high school,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,Headache,Unaware,No response,0,0,1,1,1,2,0,0,16,2.54
Neurologist,Yes,Immediately,yes,yes,no,yes,15-25,Male,speciality,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Headache,Unaware,No response,4,1,1,1,1,2,0,0,33,5.24
Neurologist,Yes,Within a day,yes,yes,maybe,maybe,15-25,Female,other,"4,00,001 - 6,00,000",Family/Friend,Immediate,Doctor /Specialist,Speech / Confusion,Diabetes / Obesity,Seek Medical Help,4,1,1,1,0,1,0,0,29,4.6
Neurologist,No,Within a month,yes,no,no,maybe,26-40,Male,speciality,"2,00,001 - 4,00,000",Family/Friend,Immediate,Hospital /Medical Centre,,Unaware,Ensure Rest and Safety,4,0,1,0,0,2,0,3,36,5.71
Physician,Maybe,Within a week,maybe,maybe,maybe,maybe,26-40,Female,speciality,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Maybe,I would not consult a specialist,no,no,no,no,15-25,Female,graduate,"2,00,001 - 4,00,000",Doctor,Unaware,Unknown /No Response,Dizziness,Other,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,Yes,Immediately,no,no,no,no,26-40,Female,graduate,Not Specified,Doctor,Immediate,Other,,Other,other,0,1,0,0,0,2,0,0,9,1.43
Physician,No,Within a day,maybe,maybe,maybe,maybe,26-40,Female,graduate,"Below 2,00,000",Unknown,Unknown,Doctor /Specialist,,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,maybe,yes,maybe,yes,15-25,Female,other,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,Paralysis / Weakness,Unaware,No response,2,1,0,1,1,1,0,0,20,3.17
Physician,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,graduate,Not Specified,Unknown,Unknown,Unknown /No Response,,Other,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Yes,Immediately,yes,maybe,yes,yes,26-40,Female,graduate,"Below 2,00,000",Doctor,Immediate,Emergency Services,"Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",Ensure Rest and Safety,0,1,1,0,1,0,0,0,12,1.9
Orthopedic,Yes,Within a day,no,no,no,no,15-25,Female,graduate,"4,00,001 - 6,00,000",Doctor,after few days (2-3days or week),Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache",Other,other,0,1,0,0,0,2,0,0,9,1.43
Physician,No,Immediately,yes,no,no,no,26-40,Female,graduate,"Below 2,00,000",Doctor,Immediate,Unknown /No Response,,Other,other,0,0,1,0,0,2,0,0,9,1.43
"ENT (Ear, Nose, and Throat specialist)",No,Within a month,maybe,no,no,no,26-40,Male,graduate,"2,00,001 - 4,00,000",Unaware,Unaware,Unknown /No Response,,Other,other,2,0,0,0,0,2,0,0,10,1.59
